 a
0 b
11 c
14 d
16 e
17 f
18 g
2 h
20 i
23 j
25 k
26 l
27 m
28 n
29 o
30 p
31 q
32 r
33 s
34 t
35 u
36 v
37 w
38 x
39 y
40 z
41 aa
42 ab
43 ac
44 ad
45 ae
46 af
47 ag
48 ah
49 ai
5 aj
50 ak
51 al
52 am
53 an
54 ao
55 ap
56 aq
57 ar
58 as
59 at
60 au
62 av
63 aw
64 ax
7 ay
8 az
9 ba
v0_0 bb
v0_1 bc
v1_0 bd
v1_1 be
vacknowledge bf
vacknowledge_acknowledge bg
vacknowledge_align bh
vacknowledge_check bi
vacknowledge_clarify bj
vacknowledge_explain bk
vacknowledge_instruct bl
vacknowledge_query_w bm
vacknowledge_query_yn bn
vacknowledge_reply_n bo
vacknowledge_reply_w bp
vacknowledge_reply_y bq
vacomp br
vacomp_acomp bs
vacomp_advcl bt
vacomp_advmod bu
vacomp_amod bv
vacomp_ccomp bw
vacomp_conj_and bx
vacomp_conj_or by
vacomp_dep bz
vacomp_dobj ca
vacomp_nsubj cb
vacomp_pcomp cc
vacomp_pobj cd
vacomp_prep_above ce
vacomp_prep_from cf
vacomp_prep_in cg
vacomp_prep_of ch
vacomp_prep_on ci
vacomp_prep_to cj
vacomp_prep_underneath ck
vacomp_rcmod cl
vacomp_root cm
vacomp_xcomp cn
vadvcl co
vadvcl_acomp cp
vadvcl_advcl cq
vadvcl_advmod cr
vadvcl_amod cs
vadvcl_ccomp ct
vadvcl_conj_and cu
vadvcl_conj_or cv
vadvcl_csubj cw
vadvcl_dep cx
vadvcl_dobj cy
vadvcl_nn cz
vadvcl_npadvmod da
vadvcl_nsubj db
vadvcl_partmod dc
vadvcl_pcomp dd
vadvcl_pobj de
vadvcl_prep df
vadvcl_prep_about dg
vadvcl_prep_above dh
vadvcl_prep_across di
vadvcl_prep_along dj
vadvcl_prep_around dk
vadvcl_prep_as dl
vadvcl_prep_at dm
vadvcl_prep_away_from dn
vadvcl_prep_below do
vadvcl_prep_beneath dp
vadvcl_prep_between dq
vadvcl_prep_beyond dr
vadvcl_prep_by ds
vadvcl_prep_down dt
vadvcl_prep_from du
vadvcl_prep_in dv
vadvcl_prep_like dw
vadvcl_prep_of dx
vadvcl_prep_on dy
vadvcl_prep_out dz
vadvcl_prep_over ea
vadvcl_prep_past eb
vadvcl_prep_starting ec
vadvcl_prep_they're ed
vadvcl_prep_through ee
vadvcl_prep_to ef
vadvcl_prep_towards eg
vadvcl_prep_under eh
vadvcl_prep_underneath ei
vadvcl_prep_with ej
vadvcl_prepc_above ek
vadvcl_prepc_from el
vadvcl_prepc_instead_of em
vadvcl_prepc_of en
vadvcl_prepc_over eo
vadvcl_prepc_to ep
vadvcl_rcmod eq
vadvcl_root er
vadvcl_tmod es
vadvcl_xcomp et
vadvmod eu
vadvmod_acomp ev
vadvmod_advcl ew
vadvmod_advmod ex
vadvmod_amod ey
vadvmod_attr ez
vadvmod_ccomp fa
vadvmod_conj_and fb
vadvmod_conj_but fc
vadvmod_conj_just fd
vadvmod_conj_or fe
vadvmod_csubj ff
vadvmod_dep fg
vadvmod_dobj fh
vadvmod_infmod fi
vadvmod_iobj fj
vadvmod_mark fk
vadvmod_na fl
vadvmod_neg fm
vadvmod_nn fn
vadvmod_npadvmod fo
vadvmod_nsubj fp
vadvmod_partmod fq
vadvmod_pcomp fr
vadvmod_pobj fs
vadvmod_prep ft
vadvmod_prep_about fu
vadvmod_prep_above fv
vadvmod_prep_across fw
vadvmod_prep_after fx
vadvmod_prep_along fy
vadvmod_prep_around fz
vadvmod_prep_as ga
vadvmod_prep_at gb
vadvmod_prep_before gc
vadvmod_prep_below gd
vadvmod_prep_beneath ge
vadvmod_prep_beside gf
vadvmod_prep_between gg
vadvmod_prep_down gh
vadvmod_prep_following gi
vadvmod_prep_for gj
vadvmod_prep_from gk
vadvmod_prep_in gl
vadvmod_prep_into gm
vadvmod_prep_like gn
vadvmod_prep_next_to go
vadvmod_prep_of gp
vadvmod_prep_off gq
vadvmod_prep_on gr
vadvmod_prep_on_top_of gs
vadvmod_prep_over gt
vadvmod_prep_past gu
vadvmod_prep_starting gv
vadvmod_prep_through gw
vadvmod_prep_to gx
vadvmod_prep_towards gy
vadvmod_prep_under gz
vadvmod_prep_underneath ha
vadvmod_prep_until hb
vadvmod_prep_up hc
vadvmod_prep_with hd
vadvmod_prepc_above he
vadvmod_prepc_from hf
vadvmod_prepc_instead_of hg
vadvmod_prepc_like hh
vadvmod_prepc_of hi
vadvmod_prepc_over hj
vadvmod_prepc_to hk
vadvmod_rcmod hl
vadvmod_root hm
vadvmod_tmod hn
vadvmod_xcomp ho
vagent hp
vagent_agent hq
vagent_ccomp hr
vagent_dobj hs
vagent_na ht
vagent_nn hu
vagent_nsubj hv
vagent_pobj hw
vagent_prep_of hx
vagent_prep_past hy
vagent_root hz
valign ia
valign_acknowledge ib
